date,shape,latitude,longitude
2005-12,light,32.2094444,-99.7963889
2005-12,light,47.3200000,-114.0930556
2005-12,light,28.5380556,-81.3794444
2005-12,light,46.521858,-84.34609
2005-12,light,33.4222222,-111.8219444
2005-12,light,35.0875000,-84.0347222
2005-12,light,30.3319444,-81.6558333
2005-12,diamond,38.5752778,-78.5027778
2005-12,diamond,44.1916667,-88.6238889
2005-12,formation,38.6780556,-121.1750000
2005-12,formation,6.524379,3.379206
2005-12,circle,40.2736111,-76.8847222
2005-12,circle,-38.153461,144.358093
2005-12,circle,39.6477778,-104.9872222
2005-12,circle,32.7558333,-111.6702778
2005-12,circle,27.0438889,-82.2361111
2005-12,circle,44.0522222,-123.0855556
2005-12,circle,34.4208333,-119.6972222
2005-12,changing,36.8416667,-82.2252778
2005-12,flash,45.5236111,-122.6750000
2005-12,flash,34.1866667,-118.4480556
2005-12,flash,38.4730556,-77.9969444
2005-12,flash,41.4047222,-81.7230556
2005-12,sphere,41.2683333,-110.9625000
2005-12,sphere,38.8461111,-77.3066667
2005-12,sphere,32.692651,-114.627692
2005-12,sphere,31.652213,-97.307964
2005-12,disk,-37.813938,144.963425
2005-12,disk,34.9244444,-80.7436111
2005-12,fireball,39.5791667,-104.8763889
2005-12,fireball,37.7750000,-122.4183333
2005-12,fireball,22.986419,72.635522
2005-12,fireball,31.2516667,-89.8375000
2005-12,fireball,26.1272222,-80.2333333
2005-12,fireball,30.2238889,-92.0197222
2005-12,cigar,34.8666667,-92.4041667
2005-12,cigar,42.9958333,-77.6458333
2005-12,cigar,42.9666667,-88.3711111
2006-01,oval,37.9322222,-87.8950000
2006-01,oval,34.7463889,-92.2894444
2006-01,oval,39.92077,32.85411
2006-01,oval,41.4569444,-72.8236111
2006-01,,39.8208333,-84.0194444
2006-01,,33.4483333,-112.0733333
2006-01,,-33.861481,151.205475
2006-01,,46.216667,-63.483333
2006-01,,32.9813889,-82.8102778
2006-01,,42.885225,-86.123999
2006-01,,39.3508333,-101.7097222
2006-01,cylinder,27.694773,-80.543845
2006-01,triangle,33.6488889,-85.5875000
2006-01,triangle,33.931126,-117.548661
2006-01,triangle,35.4305556,-82.5013889
2006-01,triangle,39.4183333,-92.4380556
2006-01,triangle,41.6016667,-75.1502778
2006-01,triangle,42.1269444,-89.2555556
2006-01,triangle,33.9608333,-83.3780556
2006-01,triangle,42.3508333,-73.8033333
2006-01,triangle,31.968599,-99.901813
2006-01,light,43.8569444,-70.1036111
2006-01,light,57.944187,19.142479
2006-01,light,32.4486111,-99.7327778
2006-01,light,41.447569,-71.524667
2006-01,light,38.3030556,-77.4608333
2006-01,light,39.7172222,-74.9697222
2006-01,light,48.2413889,-122.3694444
2006-01,light,26.8230556,-80.1388889
2006-01,light,34.0194444,-118.4902778
2006-01,light,37.0052778,-89.1763889
2006-01,light,37.7750000,-122.4183333
2006-01,light,37.0113889,-80.0497222
2006-01,light,36.3125000,-95.6158333
2006-01,light,39.2038889,-94.5544444
2006-01,light,44.041991,-72.203388
2006-01,light,47.9252778,-97.0325000
2006-01,light,42.0897222,-76.8080556
2006-01,light,39.9686111,-77.5875000
2006-01,diamond,34.2766667,-115.1694444
2006-01,diamond,29.1869444,-82.1402778
2006-01,circle,37.7975000,-79.7913889
2006-01,circle,-33.861481,151.205475
2006-01,circle,37.1305556,-92.2633333
2006-01,rectangle,33.8302778,-116.5444444
2006-01,changing,35.0844444,-106.6505556
2006-01,flash,37.566535,126.977969
2006-01,sphere,42.9097222,-85.7630556
2006-01,sphere,32.584303,-88.187248
2006-01,sphere,40.0891667,-75.3963889
2006-01,disk,40.1738889,-80.2463889
2006-01,disk,47.833889,-122.124444
2006-01,disk,30.7233333,-95.5505556
2006-01,fireball,27.3361111,-82.5308333
2006-01,fireball,43.901816,1.896506
2006-01,fireball,34.0522222,-118.2427778
2006-01,fireball,33.129966,-117.309056
2006-01,teardrop,-26.394329,153.090103
2006-01,teardrop,41.8238889,-71.4133333
2006-01,teardrop,33.7455556,-117.8669444
2006-01,cigar,45.95,-66.633333
2006-02,oval,37.2152778,-93.2980556
2006-02,oval,37.9886111,-84.4777778
2006-02,oval,45.1602778,-93.0886111
2006-02,,52.633333,1.3
2006-02,,30.2669444,-97.7427778
2006-02,,54.5,-128.583333
2006-02,,38.2538000,-94.3356000
2006-02,,42.2411111,-83.6130556
2006-02,,53.5,-2.216667
2006-02,,37.2644444,-88.2441667
2006-02,,27.9472222,-82.4586111
2006-02,,33.4483333,-112.0733333
2006-02,,39.9669444,-74.9430556
2006-02,,42.0333333,-87.8833333
2006-02,,42.0986111,-75.9183333
2006-02,,53.716667,-.333333
2006-02,,41.5822222,-85.8344444
2006-02,,39.9522222,-75.1641667
2006-02,cylinder,36.9741667,-122.0297222
2006-02,triangle,32.3863889,-96.8480556
2006-02,triangle,41.4294444,-88.2286111
2006-02,triangle,37.7741667,-87.1133333
2006-02,triangle,37.5958333,-122.0180556
2006-02,triangle,36.4072222,-105.5725000
2006-02,triangle,33.9202778,-80.3416667
2006-02,triangle,29.4238889,-98.4933333
2006-02,light,37.3022222,-120.4819444
2006-02,light,38.8966667,-121.0758333
2006-02,light,31.7077778,-111.0638889
2006-02,light,32.2730556,-89.9858333
2006-02,light,32.7847222,-85.3058333
2006-02,light,38.7297222,-120.7975000
2006-02,light,35.6869444,-105.9372222
2006-02,light,37.7800000,-98.0194444
2006-02,light,44.5438889,-73.1483333
2006-02,light,27.9472222,-82.4586111
2006-02,light,33.6058333,-78.9733333
2006-02,light,39.9611111,-82.9988889
2006-02,light,27.7519444,-98.0694444
2006-02,light,47.6777778,-116.7794444
2006-02,light,33.3316667,-105.6725000
2006-02,formation,33.7455556,-117.8669444
2006-02,formation,20.653407,-105.225332
2006-02,formation,46.8722222,-113.9930556
2006-02,formation,40.5791667,-74.4119444
2006-02,circle,36.2808333,-83.5150000
2006-02,circle,34.413056,-110.564444
2006-02,circle,33.4150000,-111.5488889
2006-02,circle,26.5641667,-98.1208333
2006-02,changing,38.2541667,-85.7594444
2006-02,changing,-37.978276,175.757401
2006-02,flash,43.4194444,-83.9508333
2006-02,flash,33.9925000,-83.7202778
2006-02,sphere,34.1683333,-118.6050000
2006-02,sphere,33.7738889,-117.9405556
2006-02,sphere,34.0336111,-117.0422222
2006-02,sphere,64.8377778,-147.7163889
2006-02,disk,25.7738889,-80.1938889
2006-02,disk,20.653407,-105.225332
2006-02,fireball,39.9783333,-86.1180556
2006-02,fireball,35.7602778,-84.1358333
2006-02,fireball,36.0102778,-84.2697222
2006-02,fireball,39.2333333,-84.1613889
2006-02,cigar,4.860416,-58.93018
2006-02,cigar,53.55,-113.5
2006-02,chevron,41.447569,-71.524667
2006-02,chevron,39.5127778,-115.9597222
2006-03,oval,41.0886111,-74.0138889
2006-03,oval,42.1500000,-71.7633333
2006-03,oval,37.8716667,-122.2716667
2006-03,oval,43.25,-79.833333
2006-03,oval,36.1538889,-95.9925000
2006-03,oval,35.2269444,-80.8433333
2006-03,,40.1672222,-105.1013889
2006-03,,38.2811111,-80.8527778
2006-03,,45.776198,-65.381148
2006-03,,6.845363,80.103772
2006-03,,35.893488,10.598895
2006-03,,33.9791667,-118.0319444
2006-03,,35.4577778,-79.0533333
2006-03,,39.9561111,-75.0583333
2006-03,,47.3483333,-122.1136111
2006-03,,38.7216667,-76.6608333
2006-03,,38.9516667,-92.3338889
2006-03,,38.5816667,-121.4933333
2006-03,,35.0875000,-84.0347222
2006-03,,42.2833333,-71.3500000
2006-03,,44.3580556,-89.0858333
2006-03,,33.5386111,-112.1852778
2006-03,cylinder,27.430509,-82.42841
2006-03,triangle,35.6058333,-100.1002778
2006-03,triangle,38.7891667,-77.1875000
2006-03,triangle,41.7002778,-73.9213889
2006-03,triangle,34.9633333,-85.4111111
2006-03,triangle,26.6155556,-80.0572222
2006-03,triangle,41.6055556,-73.9719444
2006-03,triangle,28.7027778,-81.3386111
2006-03,light,47.2152778,-123.0994444
2006-03,light,-15.944821,-5.717933
2006-03,light,47.9791667,-122.2008333
2006-03,light,40.6588889,-74.3477778
2006-03,light,42.3750000,-71.0397222
2006-03,light,33.9022222,-118.0808333
2006-03,light,38.6786111,-121.7722222
2006-03,light,37.6655556,-82.7716667
2006-03,light,37.9836111,-122.0741667
2006-03,light,49.25,-123.133333
2006-03,light,36.458004,-116.870886
2006-03,light,44.7272222,-75.3213889
2006-03,light,42.361862,-106.205549
2006-03,light,37.7750000,-122.4183333
2006-03,light,26.2125000,-80.2500000
2006-03,diamond,-35.27603,149.13435
2006-03,circle,39.9625000,-76.7280556
2006-03,circle,32.7152778,-117.1563889
2006-03,circle,43.4391667,-70.7747222
2006-03,circle,41.4994444,-81.6955556
2006-03,circle,37.6194444,-84.5780556
2006-03,circle,32.5158333,-93.7319444
2006-03,circle,33.9791667,-118.0319444
2006-03,circle,33.0461111,-96.9938889
2006-03,circle,37.0841667,-94.5130556
2006-03,circle,33.4502778,-88.8183333
2006-03,circle,25.981202,-80.148379
2006-03,circle,33.5777778,-101.8547222
2006-03,changing,42.7533333,-84.7463889
2006-03,changing,36.1538889,-95.9925000
2006-03,changing,34.9702778,-78.9455556
2006-03,changing,50.133333,8.916667
2006-03,flash,44.9800000,-93.2636111
2006-03,sphere,33.9791667,-118.0319444
2006-03,sphere,33.1052778,-88.5608333
2006-03,sphere,44.3,-78.333333
2006-03,egg,32.8594444,-86.9513889
2006-03,cross,33.6602778,-117.9983333
2006-03,cross,52.416667,-1.55
2006-03,disk,36.3125000,-95.6158333
2006-03,disk,38.3241667,-85.4725000
2006-03,disk,46.729777,-117.181738
2006-03,disk,36.0625000,-94.1572222
2006-03,fireball,33.359341,-111.45003
2006-03,fireball,38.8047222,-77.0472222
2006-03,fireball,33.7397222,-116.4119444
2006-03,fireball,42.0372222,-88.2811111
2006-03,fireball,30.4380556,-84.2808333
2006-03,fireball,34.0952778,-118.1261111
2006-03,fireball,38.0280556,-121.8836111
2006-03,teardrop,58.595272,25.013607
2006-03,cigar,42.3583333,-71.0602778
2006-03,chevron,41.2400000,-83.6433333
2006-04,oval,38.907231,-77.036464
2006-04,oval,49.52273,5.88896
2006-04,,33.6305556,-112.3325000
2006-04,,47.5675000,-122.6313889
2006-04,,43.0986111,-77.4422222
